Entry_Wilkie,Gene_name_obtained
Q9UH99,SUN2
Q5JTV8,TOR1AIP1
Q14739,LBR
O94901,SUN1
Q8TEM1,NUP210
Q8NF91,SYNE1
Q8WXH0,SYNE2
Q8IXM6,NRM
Q9BTV4,TMEM43
P50402,EMD
Q9Y2U8,LEMD3
A8CG34,POM121C
Q8NC56,LEMD2
O94905,ERLIN2
Q6NSJ0,MYORG
Q5SNT2,TMEM201
Q9NXE4,SMPD4
Q8NBX0,SCCPDH
O76062,TM7SF2
Q969X5,ERGIC1
Q9BTX1,NDC1
Q92604,LPGAT1
Q9P0S9,TMEM14C
O95476,CTDNEP1
Q96SK2,TMEM209
Q6ZMZ3,SYNE3
Q14146,URB2
Q15061,WDR43
Q8TED0,UTP15
Q5SY16,NOL9
O60287,URB1
Q8N201,INTS1
P49756,RBM25
O75425,MOSPD3
Q05519,SRSF11
Q8N9R8,SCAI
Q9Y3T9,NOC2L
Q9BVI4,NOC4L
Q8IWA0,WDR75
Q9H0A0,NAT10
Q8NBV4,PLPP7
Q9BVC6,TMEM109
Q6PIU2,NCEH1
Q9H8H3,TMT1A
Q9HDC9,APMAP
P46977,STT3A
Q96HV5,TMEM41A
Q9BQA9,CYBC1
Q9BY50,SEC11C
Q9NX47,MARCHF5
Q53EP0,FNDC3B
Q8N6S5,ARL6IP6
Q9H920,RNF121
Q96BY9,SARAF
Q9H330,TMEM245
Q9NX78,TMEM260
Q96F15,GIMAP5
Q9NWW5,CLN6
P48651,PTDSS1
Q9H1E5,TMX4
Q9NX61,TMEM161A
Q9H6F2,TMEM38A
O76024,WFS1
Q9H511,KLHL31
Q3ZAQ7,VMA21
Q6NUQ4,TMEM214
Q9HBU9,POPDC2
O14524,NEMP1
Q07065,CKAP4
Q8TEB9,RHBDD1
Q6P1A2,LPCAT3
Q9BUB7,TMEM70
Q8N0U8,VKORC1L1
Q9Y4J8,DTNA
Q9Y320,TMX2
Q86UP2,KTN1
Q96K19,RNF170
Q96LT4,SAMD8
Q6PK18,OGFOD3
Q70UQ0,IKBIP
Q75T13,PGAP1
Q96IK0,TMEM101
B4DJY2,TMEM233
Q6ZXV5,TMTC3
Q99675,CGRRF1
Q96S06,LMF1
Q5I7T1,ALG10B
Q16821,PPP1R3A
Q8N5G2,MACO1
Q6ZV29,PNPLA7
Q0P6H9,TMEM62
Q8IZF2,ADGRF5
A6NMS7,LRRC37A
Q7Z407,CSMD3
